Date,Open,High,Low,Close,Adj Close,Volume
15-05-2017,318.380005,320.200012,312.529999,315.880005,315.880005,7622000
17-05-2017,314.390015,314.630005,305.5,306.109985,306.109985,6711900
18-05-2017,307,313.940002,305.309998,313.059998,313.059998,5653800
19-05-2017,315.5,316.5,310.200012,310.829987,310.829987,4687600
22-05-2017,312.799988,314.369995,306.799988,310.350006,310.350006,4329200
23-05-2017,310.459991,310.730011,303.480011,303.859985,303.859985,4318400
24-05-2017,306.51001,311,305.399994,310.220001,310.220001,5033300
25-05-2017,311.019989,316.970001,307.809998,316.829987,316.829987,5014000
30-05-2017,326,336.279999,325.76001,335.100006,335.100006,7782900
31-05-2017,337.690002,342.890015,335.160004,341.01001,341.01001,9963400
01-06-2017,344,344.880005,337.290009,340.369995,340.369995,7608000
02-06-2017,339.769989,342.880005,335.929993,339.850006,339.850006,5590200
